layer,source,ds,path,rows,is_empty,content_date_min,content_date_max,match_ratio_±1d,anomaly
bronze,openphish,2025-09-17,bronze/openphish/ingest_date=2025-09-17/openphish.parquet,300.0,False,,,,
bronze,openphish,2025-09-18,bronze/openphish/ingest_date=2025-09-18/openphish.parquet,300.0,False,,,,
bronze,openphish,2025-09-19,bronze/openphish/ingest_date=2025-09-19/openphish.parquet,300.0,False,,,,
bronze,openphish,2025-09-20,bronze/openphish/ingest_date=2025-09-20/openphish.parquet,300.0,False,,,,
bronze,openphish,2025-09-21,bronze/openphish/ingest_date=2025-09-21/openphish.parquet,300.0,False,,,,
bronze,openphish,2025-09-22,bronze/openphish/ingest_date=2025-09-22/openphish.parquet,300.0,False,,,,
bronze,openphish,2025-09-23,bronze/openphish/ingest_date=2025-09-23/openphish.parquet,300.0,False,,,,
bronze,openphish,2025-09-24,bronze/openphish/ingest_date=2025-09-24/openphish.parquet,300.0,False,,,,
bronze,openphish,2025-09-25,bronze/openphish/ingest_date=2025-09-25/openphish.parquet,300.0,False,,,,
bronze,openphish,2025-09-26,bronze/openphish/ingest_date=2025-09-26/openphish.parquet,300.0,False,,,,
bronze,openphish,2025-09-27,bronze/openphish/ingest_date=2025-09-27/openphish.parquet,300.0,False,,,,
bronze,openphish,2025-09-28,bronze/openphish/ingest_date=2025-09-28/openphish.parquet,300.0,False,,,,
bronze,openphish,2025-09-29,bronze/openphish/ingest_date=2025-09-29/openphish.parquet,300.0,False,,,,
bronze,openphish,2025-09-30,bronze/openphish/ingest_date=2025-09-30/openphish.parquet,300.0,False,,,,
bronze,openphish,2025-10-01,bronze/openphish/ingest_date=2025-10-01/openphish.parquet,300.0,False,,,,
bronze,openphish,2025-10-02,bronze/openphish/ingest_date=2025-10-02/openphish.parquet,300.0,False,,,,
bronze,openphish,2025-10-03,bronze/openphish/ingest_date=2025-10-03/openphish.parquet,300.0,False,,,,
bronze,openphish,2025-10-04,bronze/openphish/ingest_date=2025-10-04/openphish.parquet,300.0,False,,,,
bronze,openphish,2025-10-05,bronze/openphish/ingest_date=2025-10-05/openphish.parquet,300.0,False,,,,
bronze,openphish,2025-10-06,bronze/openphish/ingest_date=2025-10-06/openphish.parquet,300.0,False,,,,
bronze,openphish,2025-10-07,bronze/openphish/ingest_date=2025-10-07/openphish.parquet,300.0,False,,,,
bronze,openphish,2025-10-08,bronze/openphish/ingest_date=2025-10-08/openphish.parquet,300.0,False,,,,
bronze,openphish,2025-10-09,bronze/openphish/ingest_date=2025-10-09/openphish.parquet,300.0,False,,,,
bronze,openphish,2025-10-10,bronze/openphish/ingest_date=2025-10-10/openphish.parquet,300.0,False,,,,
bronze,openphish,2025-10-11,bronze/openphish/ingest_date=2025-10-11/openphish.parquet,300.0,False,,,,
bronze,openphish,2025-10-12,bronze/openphish/ingest_date=2025-10-12/openphish.parquet,300.0,False,,,,
bronze,openphish,2025-10-13,bronze/openphish/ingest_date=2025-10-13/openphish.parquet,300.0,False,,,,
bronze,openphish,2025-10-14,bronze/openphish/ingest_date=2025-10-14/openphish.parquet,300.0,False,,,,
bronze,openphish,2025-10-15,bronze/openphish/ingest_date=2025-10-15/openphish.parquet,300.0,False,,,,
bronze,openphish,2025-10-16,bronze/openphish/ingest_date=2025-10-16/openphish.parquet,300.0,False,,,,
bronze,openphish,2025-10-17,bronze/openphish/ingest_date=2025-10-17/openphish.parquet,300.0,False,,,,
bronze,openphish,2025-10-18,bronze/openphish/ingest_date=2025-10-18/openphish.parquet,300.0,False,,,,
bronze,openphish,2025-10-19,bronze/openphish/ingest_date=2025-10-19/openphish.parquet,300.0,False,,,,
bronze,openphish,2025-10-20,bronze/openphish/ingest_date=2025-10-20/openphish.parquet,300.0,False,,,,
bronze,openphish,2025-10-21,bronze/openphish/ingest_date=2025-10-21/openphish.parquet,300.0,False,,,,
bronze,openphish,2025-10-22,bronze/openphish/ingest_date=2025-10-22/openphish.parquet,300.0,False,,,,
bronze,openphish,2025-10-23,bronze/openphish/ingest_date=2025-10-23/openphish.parquet,300.0,False,,,,
bronze,openphish,2025-10-24,bronze/openphish/ingest_date=2025-10-24/openphish.parquet,300.0,False,,,,
bronze,openphish,2025-10-25,bronze/openphish/ingest_date=2025-10-25/openphish.parquet,300.0,False,,,,
bronze,openphish,2025-10-26,bronze/openphish/ingest_date=2025-10-26/openphish.parquet,300.0,False,,,,
bronze,openphish,2025-10-27,bronze/openphish/ingest_date=2025-10-27/openphish.parquet,300.0,False,,,,
