domain,url,first_seen,label,source,seen_in_urlhaus,seen_in_openphish
jyothishmathi.in,https://jyothishmathi.in/pinout.php,2025-09-21 00:00:00+00:00,malware_download,urlhaus,True,False
175.211.219.57,http://175.211.219.57:42362/Mozi.m,2025-09-22 18:22:12.692818+00:00,malware_download,urlhaus,True,False
36.163.57.158,http://36.163.57.158:55622/bin.sh,2025-09-22 18:22:12.692818+00:00,malware_download,urlhaus,True,False
173.44.75.154,http://173.44.75.154:36165/i,2025-09-22 18:22:12.692818+00:00,malware_download,urlhaus,True,False
chinaapper.com,https://chinaapper.com/apk/pthlearning.apk,2025-09-22 18:22:12.692818+00:00,malware_download,urlhaus,True,False
37.194.25.119,http://37.194.25.119:32244/Mozi.m,2025-09-22 18:22:12.692818+00:00,malware_download,urlhaus,True,False
37.202.49.118,http://37.202.49.118:56648/Mozi.m,2025-09-22 18:22:12.692818+00:00,malware_download,urlhaus,True,False
222.140.162.75,http://222.140.162.75:41442/i,2025-09-21 00:00:00+00:00,malware_download,urlhaus,True,False
103.217.215.238,http://103.217.215.238:17645/Mozi.m,2025-09-21 00:00:00+00:00,malware_download,urlhaus,True,False
200.59.83.90,http://200.59.83.90:34653/i,2025-09-22 18:22:12.692818+00:00,malware_download,urlhaus,True,False
altseamx.com,http://altseamx.com/arm6.nn,2025-09-22 18:22:12.692818+00:00,malware_download,urlhaus,True,False
khavar.com,https://khavar.com/aecheck2.txt,2025-09-21 00:00:00+00:00,malware_download,urlhaus,True,False
36.50.54.209,http://36.50.54.209/d/wget.sh,2025-09-22 18:22:12.692818+00:00,malware_download,urlhaus,True,False
antvietnam.com,http://antvietnam.com/wp-content/plugins/user-private-files/shared/,2025-09-22 18:22:12.692818+00:00,malware_download,urlhaus,True,False
89.133.95.164,http://89.133.95.164:38396/Mozi.m,2025-09-21 00:00:00+00:00,malware_download,urlhaus,True,False
3.23.159.153,http://3.23.159.153/02.08.2022.exe,2025-09-22 18:22:12.692818+00:00,malware_download,urlhaus,True,False
39.105.223.127,http://39.105.223.127:8080/1212.bin,2025-09-21 00:00:00+00:00,malware_download,urlhaus,True,False
scanwellhaulage.com,http://scanwellhaulage.com/milkrun/work_approval_pdf3.ClientSetup.msi,2025-09-22 18:22:12.692818+00:00,malware_download,urlhaus,True,False
xtvl.tap1525gm2.vip,https://xtvl.tap1525gm2.vip/,2025-09-22 18:22:09.668075+00:00,phishing,openphish,False,True
172.170.254.193,http://172.170.254.193:8181/firmware/TS2_0001.bin,2025-09-22 18:22:12.692818+00:00,malware_download,urlhaus,True,False
182.253.60.194,http://182.253.60.194:46757/i,2025-09-21 00:00:00+00:00,malware_download,urlhaus,True,False
frygzjyhtiunvhvnacif.supabase.co,https://frygzjyhtiunvhvnacif.supabase.co/storage/v1/object/public/nano_duso/image.jpg?12711343P,2025-09-22 18:22:12.692818+00:00,malware_download,urlhaus,True,False
94.159.74.226,http://94.159.74.226:65320/Mozi.m,2025-09-21 00:00:00+00:00,malware_download,urlhaus,True,False
178.16.52.103,http://178.16.52.103/hiddenbin/boatnet.spc,2025-09-21 00:00:00+00:00,malware_download,urlhaus,True,False
onyxcryptorix.de,https://onyxcryptorix.de/bin/support.client.exe?i=&e=Support&y=Guest&r=,2025-09-21 00:00:00+00:00,malware_download,urlhaus,True,False
123.10.233.147,http://123.10.233.147:48872/i,2025-09-22 18:22:12.692818+00:00,malware_download,urlhaus,True,False
trezr----login---wallett.pages.dev,https://trezr----login---wallett.pages.dev/,2025-09-21 00:00:00+00:00,phishing,openphish,False,True
37.220.123.125,http://37.220.123.125:45497/i,2025-09-22 18:22:12.692818+00:00,malware_download,urlhaus,True,False
savaswsd.duckdns.org,http://savaswsd.duckdns.org/huhu/titanjr.x86_32,2025-09-21 00:00:00+00:00,malware_download,urlhaus,True,False
212.225.248.26,http://212.225.248.26:18373/i,2025-09-21 00:00:00+00:00,malware_download,urlhaus,True,False
182.127.69.222,http://182.127.69.222:56745/i,2025-09-22 18:22:12.692818+00:00,malware_download,urlhaus,True,False
36.92.207.29,http://36.92.207.29:60948/Mozi.m,2025-09-22 18:22:12.692818+00:00,malware_download,urlhaus,True,False
207.231.111.48,http://207.231.111.48/333.exe,2025-09-22 18:22:12.692818+00:00,malware_download,urlhaus,True,False
200.59.83.65,http://200.59.83.65:48733/i,2025-09-22 18:22:12.692818+00:00,malware_download,urlhaus,True,False
