domain,url,first_seen,label,source
pub-14414af43df540058b1a594964f59c94.r2.dev,https://pub-14414af43df540058b1a594964f59c94.r2.dev/index.html,2025-09-21 00:00:00+00:00,phishing,openphish
att-102546.weeblysite.com,https://att-102546.weeblysite.com/,2025-09-21 00:00:00+00:00,phishing,openphish
businesssuccesssystems.com.au,https://businesssuccesssystems.com.au/wp-includes/sitemaps/shjkucm/lxycvtr/nkcmax1/bless/vmo-amex.html,2025-09-21 00:00:00+00:00,phishing,openphish
www.ali-express88.shop,http://www.ali-express88.shop/st/,2025-09-21 00:00:00+00:00,phishing,openphish
sap1233lun.cc,https://sap1233lun.cc/,2025-09-21 00:00:00+00:00,phishing,openphish
tap2520466.cc,http://tap2520466.cc/,2025-09-21 00:00:00+00:00,phishing,openphish
tap2249ju8.cc,https://tap2249ju8.cc/,2025-09-21 00:00:00+00:00,phishing,openphish
tap2548n70.cc,http://tap2548n70.cc/,2025-09-21 00:00:00+00:00,phishing,openphish
sap1389fqd.cc,https://sap1389fqd.cc/,2025-09-21 00:00:00+00:00,phishing,openphish
store.workshopcreatorsvote.com,https://store.workshopcreatorsvote.com/sharedfiles/filesdetails/aug_poseidon/,2025-09-21 00:00:00+00:00,phishing,openphish
login.workshopcreatorsvote.com,https://login.workshopcreatorsvote.com/sharedfiles/filesdetails/aug_poseidon/,2025-09-21 00:00:00+00:00,phishing,openphish
mpaimontedesion.com,https://mpaimontedesion.com/redirect/main/,2025-09-21 00:00:00+00:00,phishing,openphish
sap10216f2.cc,https://sap10216f2.cc/,2025-09-21 00:00:00+00:00,phishing,openphish
sap0699yia.vip,http://sap0699yia.vip/,2025-09-21 00:00:00+00:00,phishing,openphish
sap1279mh3.cc,https://sap1279mh3.cc/,2025-09-21 00:00:00+00:00,phishing,openphish
sap1306bgk.cc,https://sap1306bgk.cc/,2025-09-21 00:00:00+00:00,phishing,openphish
sap0988biu.cc,https://sap0988biu.cc/,2025-09-21 00:00:00+00:00,phishing,openphish
sap1034tb5.cc,https://sap1034tb5.cc/,2025-09-21 00:00:00+00:00,phishing,openphish
sap125993t.cc,https://sap125993t.cc/,2025-09-21 00:00:00+00:00,phishing,openphish
tap2536viz.cc,https://tap2536viz.cc/,2025-09-21 00:00:00+00:00,phishing,openphish
sap0664zpo.vip,http://sap0664zpo.vip/,2025-09-21 00:00:00+00:00,phishing,openphish
sap1272wph.cc,https://sap1272wph.cc/,2025-09-21 00:00:00+00:00,phishing,openphish
sap10700et.cc,https://sap10700et.cc/,2025-09-21 00:00:00+00:00,phishing,openphish
sap1159e50.cc,https://sap1159e50.cc/,2025-09-21 00:00:00+00:00,phishing,openphish
tjspaintingllc.com,https://tjspaintingllc.com/br/HHDHBshbshshJnjbnJNjNJ=/,2025-09-21 00:00:00+00:00,phishing,openphish
bet73092.com,https://bet73092.com/,2025-09-21 00:00:00+00:00,phishing,openphish
bet73038.com,http://bet73038.com/,2025-09-21 00:00:00+00:00,phishing,openphish
wh4f.tap2749ilz.cc,http://wh4f.tap2749ilz.cc/,2025-09-21 00:00:00+00:00,phishing,openphish
taobao.niucha.ren,http://taobao.niucha.ren/y4.html,2025-09-21 00:00:00+00:00,phishing,openphish
rhxz.xyz,http://rhxz.xyz/,2025-09-21 00:00:00+00:00,phishing,openphish
sites.google.com,https://sites.google.com/view/cxfgdv29/accueil,2025-09-21 00:00:00+00:00,phishing,openphish
manlinkscansecurity.com,https://manlinkscansecurity.com/d5wpol5epgu0312h,2025-09-21 00:00:00+00:00,phishing,openphish
mashangyoushu.cn,https://mashangyoushu.cn/y4.html,2025-09-21 00:00:00+00:00,phishing,openphish
urlscannerfireeye.com,https://urlscannerfireeye.com/hpt7pyy2hcp7pfdd,2025-09-21 00:00:00+00:00,phishing,openphish
share-point.on-line-site.com,https://share-point.on-line-site.com/?rid=TpnOIZs,2025-09-21 00:00:00+00:00,phishing,openphish
www.linktr.ee,http://www.linktr.ee/edin.dzinovic,2025-09-21 00:00:00+00:00,phishing,openphish
kintsugirh.fr,https://kintsugirh.fr/es-ko/,2025-09-21 00:00:00+00:00,phishing,openphish
colchoesgk.com.br,http://colchoesgk.com.br/wfkoxzh/1gejvsk/pectnka/tr/index.html,2025-09-21 00:00:00+00:00,phishing,openphish
tap3869zx8.cc,https://tap3869zx8.cc/,2025-09-21 00:00:00+00:00,phishing,openphish
tap1674dvu.vip,https://tap1674dvu.vip/,2025-09-21 00:00:00+00:00,phishing,openphish
tap01697xi.top,https://tap01697xi.top/,2025-09-21 00:00:00+00:00,phishing,openphish
sap0696v61.vip,https://sap0696v61.vip/,2025-09-21 00:00:00+00:00,phishing,openphish
help-metamask-log-x.pages.dev,https://help-metamask-log-x.pages.dev/,2025-09-21 00:00:00+00:00,phishing,openphish
wel-metamask-log.pages.dev,https://wel-metamask-log.pages.dev/,2025-09-21 00:00:00+00:00,phishing,openphish
mbavuqno.whaastsapp.com,https://mbavuqno.whaastsapp.com/,2025-09-21 00:00:00+00:00,phishing,openphish
johnclearyplanning.com,https://johnclearyplanning.com/mobile/login/,2025-09-21 00:00:00+00:00,phishing,openphish
xn--uir33sk5suea537n.vip,https://xn--uir33sk5suea537n.vip/,2025-09-21 00:00:00+00:00,phishing,openphish
webview.olfservers.com,https://webview.olfservers.com/,2025-09-21 00:00:00+00:00,phishing,openphish
access-trezor-loginn-auth.pages.dev,https://access-trezor-loginn-auth.pages.dev/,2025-09-21 00:00:00+00:00,phishing,openphish
access-trezor-iostart-cdn.pages.dev,https://access-trezor-iostart-cdn.pages.dev/,2025-09-21 00:00:00+00:00,phishing,openphish
jb.ottoolineses.com,https://jb.ottoolineses.com/,2025-09-21 00:00:00+00:00,phishing,openphish
online-bdo-sessions.auth-systems-3fc.workers.dev,http://online-bdo-sessions.auth-systems-3fc.workers.dev/bdo-form/zjkvbzam3ga0khlcrpypuqop2sfzqzmniep73tbawn,2025-09-21 00:00:00+00:00,phishing,openphish
events.srmd.org,https://events.srmd.org/wp-admin/ato,2025-09-21 00:00:00+00:00,phishing,openphish
perkinsartandsignsupply.com,https://perkinsartandsignsupply.com/,2025-09-21 00:00:00+00:00,phishing,openphish
trezor-iostart-faq.pages.dev,https://trezor-iostart-faq.pages.dev/,2025-09-21 00:00:00+00:00,phishing,openphish
tkxn.tap1539xvn.vip,https://tkxn.tap1539xvn.vip/,2025-09-21 00:00:00+00:00,phishing,openphish
tap2225nc5.cc,https://tap2225nc5.cc/,2025-09-21 00:00:00+00:00,phishing,openphish
tap1525gm2.vip,https://tap1525gm2.vip/,2025-09-21 00:00:00+00:00,phishing,openphish
tap1539xvn.vip,https://tap1539xvn.vip/,2025-09-21 00:00:00+00:00,phishing,openphish
sap1326j3u.cc,https://sap1326j3u.cc/,2025-09-21 00:00:00+00:00,phishing,openphish
sap0529k3b.vip,https://sap0529k3b.vip/,2025-09-21 00:00:00+00:00,phishing,openphish
xtvl.tap1525gm2.vip,https://xtvl.tap1525gm2.vip/,2025-09-21 00:00:00+00:00,phishing,openphish
sap1220qvj.cc,https://sap1220qvj.cc/,2025-09-21 00:00:00+00:00,phishing,openphish
tap1485wwl.vip,https://tap1485wwl.vip/,2025-09-21 00:00:00+00:00,phishing,openphish
exdouss-web3-seure.pages.dev,https://exdouss-web3-seure.pages.dev/,2025-09-21 00:00:00+00:00,phishing,openphish
portal-uphold-loginn.pages.dev,https://portal-uphold-loginn.pages.dev/,2025-09-21 00:00:00+00:00,phishing,openphish
1900898.cc,http://1900898.cc/,2025-09-21 00:00:00+00:00,phishing,openphish
localfloristflowers.com,https://localfloristflowers.com/hevuagw/1dbtpjg/iwyhavq/Dave/vmo-mygov.html,2025-09-21 00:00:00+00:00,phishing,openphish
darmel.de,https://darmel.de/w/spotify/DE/,2025-09-21 00:00:00+00:00,phishing,openphish
81fgg60.cn,https://81fgg60.cn/puvxrokt,2025-09-21 00:00:00+00:00,phishing,openphish
jpja-theviewb09.com,https://jpja-theviewb09.com/,2025-09-21 00:00:00+00:00,phishing,openphish
artrepair.be,https://artrepair.be/wp-admin/.clone_ZzJXdEpa/sf/sf_marley/sf_marley/?email=3mail@b.c,2025-09-21 00:00:00+00:00,phishing,openphish
ku-koins-login.pages.dev,https://ku-koins-login.pages.dev/,2025-09-21 00:00:00+00:00,phishing,openphish
project-trezor-login-cdn.pages.dev,https://project-trezor-login-cdn.pages.dev/,2025-09-21 00:00:00+00:00,phishing,openphish
blog-trezorr-io-start.pages.dev,http://blog-trezorr-io-start.pages.dev/,2025-09-21 00:00:00+00:00,phishing,openphish
live-ledger-live-wallet.pages.dev,http://live-ledger-live-wallet.pages.dev/,2025-09-21 00:00:00+00:00,phishing,openphish
vyl5-casefb610723.vercel.app,http://vyl5-casefb610723.vercel.app/,2025-09-21 00:00:00+00:00,phishing,openphish
home-trezor-suite-app-eng.pages.dev,http://home-trezor-suite-app-eng.pages.dev/,2025-09-21 00:00:00+00:00,phishing,openphish
faq-trezor-suiteapp-en.pages.dev,http://faq-trezor-suiteapp-en.pages.dev/,2025-09-21 00:00:00+00:00,phishing,openphish
36r0-casefb028415.vercel.app,http://36r0-casefb028415.vercel.app/,2025-09-21 00:00:00+00:00,phishing,openphish
casefb498664-af8c.vercel.app,http://casefb498664-af8c.vercel.app/,2025-09-21 00:00:00+00:00,phishing,openphish
faq-ledger-live-wallet-auth.pages.dev,http://faq-ledger-live-wallet-auth.pages.dev/,2025-09-21 00:00:00+00:00,phishing,openphish
help-ledger-live-login-en.pages.dev,http://help-ledger-live-login-en.pages.dev/,2025-09-21 00:00:00+00:00,phishing,openphish
coinbse_pro-login.godaddysites.com,https://coinbse_pro-login.godaddysites.com/,2025-09-21 00:00:00+00:00,phishing,openphish
datagivers.com,https://datagivers.com/4764c835euc0b44ecelb94afa00l215619f3.html,2025-09-21 00:00:00+00:00,phishing,openphish
uphol-dlogin-public.pages.dev,https://uphol-dlogin-public.pages.dev/,2025-09-21 00:00:00+00:00,phishing,openphish
safe-trezor-login-io.pages.dev,https://safe-trezor-login-io.pages.dev/,2025-09-21 00:00:00+00:00,phishing,openphish
8lai7x.netlify.app,https://8lai7x.netlify.app/nei.metasupport.html,2025-09-21 00:00:00+00:00,phishing,openphish
app-uphold-login-account.pages.dev,https://app-uphold-login-account.pages.dev/,2025-09-21 00:00:00+00:00,phishing,openphish
ioafla-cx7b.vercel.app,https://ioafla-cx7b.vercel.app/management/N3xqB1tZaV7pL0yFuC9s/dT6VmE8XqR5s1KnPbLy3.html,2025-09-21 00:00:00+00:00,phishing,openphish
saibo15.com,http://saibo15.com/,2025-09-21 00:00:00+00:00,phishing,openphish
support-ledgercomstartt.pages.dev,https://support-ledgercomstartt.pages.dev/,2025-09-21 00:00:00+00:00,phishing,openphish
en-app--uphold--com-auth.pages.dev,https://en-app--uphold--com-auth.pages.dev/,2025-09-21 00:00:00+00:00,phishing,openphish
docs-upholld-wallet.pages.dev,https://docs-upholld-wallet.pages.dev/,2025-09-21 00:00:00+00:00,phishing,openphish
aps-suit-trezor.pages.dev,https://aps-suit-trezor.pages.dev/,2025-09-21 00:00:00+00:00,phishing,openphish
whats-zam.vip,http://whats-zam.vip/,2025-09-21 00:00:00+00:00,phishing,openphish
pabhrr.dreamhosters.com,http://pabhrr.dreamhosters.com/,2025-09-21 00:00:00+00:00,phishing,openphish
secure-x-up-held-io.pages.dev,https://secure-x-up-held-io.pages.dev/,2025-09-21 00:00:00+00:00,phishing,openphish
loginn-uphold-com-auth.pages.dev,https://loginn-uphold-com-auth.pages.dev/,2025-09-21 00:00:00+00:00,phishing,openphish
began-en-ledgerr-live-login.pages.dev,https://began-en-ledgerr-live-login.pages.dev/,2025-09-21 00:00:00+00:00,phishing,openphish
twglobeshopping6.top,https://twglobeshopping6.top/,2025-09-21 00:00:00+00:00,phishing,openphish
bet73001.com,https://bet73001.com/egame/89,2025-09-21 00:00:00+00:00,phishing,openphish
en-trezor-hardware-wallet-us.pages.dev,https://en-trezor-hardware-wallet-us.pages.dev/,2025-09-21 00:00:00+00:00,phishing,openphish
027saibo.com,https://027saibo.com/,2025-09-21 00:00:00+00:00,phishing,openphish
ethique-services.eu,https://ethique-services.eu:8443/impact?ref_PO918_currencyId=3mail@b.c,2025-09-21 00:00:00+00:00,phishing,openphish
ghfutyjftrurtu.dksmoneytips.com,http://ghfutyjftrurtu.dksmoneytips.com/brand/#45b4af52514cf73839bf76c4bedbfb4243fe35ddb0693e32305b777e43cff0850606311fa9382a8fb8da17660c01c05ac454fde56a398e80036eef0d924ba0bbf4c06832814c1697e8d4588401b3c64e2b007deeb1f12446558d9ca59909e8e43489499df9d2f6d499ee976b2a6b7361804cfa25,2025-09-21 00:00:00+00:00,phishing,openphish
cn.150manx.com,https://cn.150manx.com/,2025-09-21 00:00:00+00:00,phishing,openphish
vakifsubesiduyuru.vercel.app,https://vakifsubesiduyuru.vercel.app/,2025-09-21 00:00:00+00:00,phishing,openphish
www.vakifsubesiduyuru.vercel.app,https://www.vakifsubesiduyuru.vercel.app/,2025-09-21 00:00:00+00:00,phishing,openphish
www.logs-fr.vercel.app,http://www.logs-fr.vercel.app/,2025-09-21 00:00:00+00:00,phishing,openphish
css-ausstehendeversicherung.medical.co.ke,https://css-ausstehendeversicherung.medical.co.ke/auth/web/index.php,2025-09-21 00:00:00+00:00,phishing,openphish
download-ledgerlive.us,https://download-ledgerlive.us/,2025-09-21 00:00:00+00:00,phishing,openphish
meta.verify-account-center-business.cfd,https://meta.verify-account-center-business.cfd/meta-community-standard-100022984037,2025-09-21 00:00:00+00:00,phishing,openphish
metamask.io.tupaginawebdesdecero.com,https://metamask.io.tupaginawebdesdecero.com/faqs.html,2025-09-21 00:00:00+00:00,phishing,openphish
dudou.serv00.net,https://dudou.serv00.net/vv/vv/,2025-09-21 00:00:00+00:00,phishing,openphish
store.workshopawardvote.com,https://store.workshopawardvote.com/sharedfiles/filesdetails/aug_poseidon/,2025-09-21 00:00:00+00:00,phishing,openphish
login.workshopskindesign.com,https://login.workshopskindesign.com/sharedfiles/filesdetails/aug_poseidon/,2025-09-21 00:00:00+00:00,phishing,openphish
store.workshopskindesign.com,https://store.workshopskindesign.com/sharedfiles/filesdetails/aug_poseidon/,2025-09-21 00:00:00+00:00,phishing,openphish
qemwmbjvxwa0wjtjz5t.vision-bqtt.com,https://qemwmbjvxwa0wjtjz5t.vision-bqtt.com/_req11doc/?email=3mail@b.c,2025-09-21 00:00:00+00:00,phishing,openphish
cn.145manx.com,https://cn.145manx.com:9119/home/register?code=40555,2025-09-21 00:00:00+00:00,phishing,openphish
learn-leadr-live-login.pages.dev,https://learn-leadr-live-login.pages.dev/,2025-09-21 00:00:00+00:00,phishing,openphish
nzipyncv.com,https://nzipyncv.com/,2025-09-21 00:00:00+00:00,phishing,openphish
homeportalite.top,https://homeportalite.top/eziKt+eyNbK5J0fPcU+89nOka5ymg3ouqbnzrEn1z3CA/HTBelkimQCkok06RQ4Xeql45iuIYk0zqtXc8utpSSPne/Ecf7KWDXr66gtqBqmbC4OoNZaS2bzi6c/?x1=3mail@b.c,2025-09-21 00:00:00+00:00,phishing,openphish
pwned-lovat.vercel.app,http://pwned-lovat.vercel.app/,2025-09-21 00:00:00+00:00,phishing,openphish
becu-online-banking.com,https://becu-online-banking.com/about/,2025-09-21 00:00:00+00:00,phishing,openphish
meta-for-business-data-standard.pages.dev,https://meta-for-business-data-standard.pages.dev/meta_for_business,2025-09-21 00:00:00+00:00,phishing,openphish
